Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
20I8RduZC2PWMWTDCZuuAN,"0XNa1vTidXlvJ2gHSsRi4A","Take Me Out","Franz Ferdinand","Franz Ferdinand",2004-02-16,237026,76,spotify:user:flaredfive830,2019-07-15T03:36:19Z,"alternative rock,dance rock,indie rock,modern rock,rock,scottish rock",0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,4
1vxw6aYJls2oq3gW0DujAo,"5SbkVQYYzlw1kte75QIabH","Crazy","St. Elsewhere","Gnarls Barkley",2006-04-24,177933,72,spotify:user:flaredfive830,2019-07-15T03:36:20Z,"atl hip hop,neo soul",0.866,0.537,8,-5.786,1,0.0335,0.053,0.0156,0.0866,0.643,111.987,4
5dKBaysNJtfpyNTRa5lqDb,"5BvJzeQpmsdsFp4HGUYUEx","A-Punk","Vampire Weekend","Vampire Weekend",2008-01-27,137760,6,spotify:user:flaredfive830,2019-07-15T03:36:22Z,"baroque pop,chamber pop,garage rock,indie rock,indietronica,modern rock",0.551,0.821,2,-4.489,1,0.0539,0.0102,0.0438,0.153,0.842,174.923,4
5W3cjX2J3tjhG8zb6u0qHn,"4tZwfgrHOc3mvqYlEYSvVi","Harder, Better, Faster, Stronger","Discovery","Daft Punk",2001-03-12,224693,64,spotify:user:flaredfive830,2019-07-15T03:36:24Z,"electro,filter house,rock",0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.474,4
1jJci4qxiYcOHhQR247rEU,"0SwO7SWeDHJijQ3XNS7xEE","Kids","Oracular Spectacular","MGMT",2007-12-14,302840,73,spotify:user:flaredfive830,2019-07-15T03:36:25Z,"alternative rock,indie rock,indietronica,modern rock,rock",0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4
5zF2zGPkL6Ipsn9AfAK6RP,"04gDigrS5kc9YWfZHwBETP","This Love","Songs About Jane","Maroon 5",2002-06-25,206200,0,spotify:user:flaredfive830,2019-07-15T03:36:30Z,"pop",0.714,0.868,5,-4.596,0,0.0363,0.0551,0,0.0987,0.78,95.05,4
0a7BloCiNzLDD9qSQHh5m7,"4UXqAaa6dQYAk18Lv7PEgX","Dance, Dance","From Under The Cork Tree","Fall Out Boy",2005-05-03,180266,72,spotify:user:flaredfive830,2019-07-15T03:36:49Z,"emo,modern rock,pop,pop punk,rock",0.621,0.961,11,-3.198,0,0.154,0.00523,0,0.0854,0.449,114.451,4
4y6c5vMzKKM3KsMbHtjKx5,"5K4W6rqBFWDnAN6FQUkS6x","Stronger","Graduation (UK Version)","Kanye West",2007-09-11,311866,0,spotify:user:flaredfive830,2019-07-15T03:36:54Z,"chicago rap,hip hop,rap",0.617,0.717,10,-7.858,0,0.153,0.00564,0,0.408,0.49,103.992,4
3BE0getU08uXas8ZjULABA,"5BcAKTbp20cv7tC5VqPFoC,4e0nWw2r4BoQSKPQ2zpU13","Can't Hold Us (feat. Ray Dalton)","The Heist","Macklemore & Ryan Lewis,Ray Dalton",2012-10-10,258431,0,spotify:user:flaredfive830,2019-07-15T03:37:01Z,"pop rap,seattle hip hop,pop dance",0.634,0.927,2,-4.468,1,0.0838,0.027,0,0.0986,0.88,146.094,4
5eCgNATwXgRc4mZx9NymGJ,"1vCWHaC5f2uS3yhpwWbIA6","Waiting For Love","Waiting For Love","Avicii",2015-05-22,228750,0,spotify:user:flaredfive830,2019-07-15T03:37:03Z,"dance pop,edm,pop,pop dance",0.567,0.746,6,-3.748,0,0.0511,0.335,0,0.392,0.578,128.03,4
